#Create Time :2023-04-12 16:23:08.172466 
87153.258265 9.740772 0.278935 -2.320392
87153.263208 9.734328 0.299540 -2.367425
87153.268152 9.705255 0.330393 -2.395324
87153.273096 9.716255 0.351503 -2.437354
87153.278040 9.779404 0.434318 -2.440742
87153.282984 9.853881 0.455831 -2.467882
87153.287897 9.929512 0.497187 -2.488440
87153.292810 9.968251 0.508672 -2.487665
87153.297754 9.923194 0.538369 -2.483423
87153.302698 9.881760 0.500276 -2.500638
87153.307611 9.804662 0.478128 -2.507542
87153.312555 9.741164 0.417772 -2.525156
87153.317499 9.640082 0.341765 -2.562163
87153.322443 9.606306 0.251567 -2.537303
87153.327356 9.596595 0.271020 -2.490464
87153.332270 9.608286 0.346453 -2.485883
87153.337091 9.597003 0.431927 -2.518961
87153.342127 9.560617 0.470953 -2.557519
87153.347071 9.579635 0.473817 -2.565202
87153.352015 9.613660 0.479834 -2.605773
87153.356989 9.596849 0.443804 -2.646852
87153.361933 9.591631 0.362072 -2.650696
87153.366877 9.597723 0.372979 -2.571641
87153.371820 9.611699 0.560659 -2.643565
87153.376764 9.686111 0.498605 -2.708261
87153.381708 9.734802 0.436387 -2.755398
87153.386621 9.794347 0.436027 -2.694804
87153.391535 9.810848 0.433117 -2.594593
87153.396479 9.806621 0.447435 -2.562835
87153.401422 9.795978 0.440662 -2.631411
87153.406366 9.840641 0.411016 -2.677094
87153.411280 9.780898 0.364180 -2.664441
87153.416224 9.742493 0.327419 -2.678035
87153.421167 9.707573 0.297455 -2.675537
87153.426081 9.628670 0.272010 -2.679062
87153.431025 9.558552 0.243894 -2.668524
87153.435816 9.541513 0.244057 -2.644113
87153.440882 9.523453 0.263373 -2.635905
87153.445856 9.523441 0.208785 -2.620696
87153.450800 9.522796 0.188878 -2.623824
87153.455744 9.512382 0.221215 -2.639480
87153.460688 9.538766 0.263839 -2.691188
87153.465662 9.509467 0.244826 -2.718585
87153.470575 9.508134 0.263812 -2.741550
87153.475489 9.496267 0.252831 -2.742724
87153.480432 9.486270 0.245263 -2.774212
87153.485376 9.521767 0.291255 -2.791843
87153.490290 9.539290 0.337280 -2.798719
87153.495234 9.558376 0.355379 -2.750902
87153.500177 9.591462 0.395687 -2.754093
87153.505121 9.622527 0.391365 -2.744613
87153.510065 9.593666 0.351316 -2.637804
87153.515009 9.535118 0.294899 -2.625671
87153.519922 9.523249 0.225009 -2.613845
87153.524744 9.573329 0.115045 -2.591254
87153.529749 9.529931 -0.017777 -2.657522
87153.534693 9.470896 -0.107666 -2.692327
87153.539484 9.497451 -0.216614 -2.744885
87153.544519 9.492173 -0.256706 -2.745636
87153.549524 9.504465 -0.249047 -2.742704
87153.554499 9.517816 -0.238847 -2.846189
87153.559443 9.544432 -0.193686 -2.910640
87153.564386 9.585613 -0.184101 -2.896647
87153.569330 9.622614 -0.141178 -2.843500
87153.574274 9.616105 -0.126903 -2.791079
87153.579218 9.586946 -0.060914 -2.739195
87153.584162 9.627796 -0.028128 -2.708412
87153.589106 9.682003 -0.168851 -2.613149
87153.594019 9.635085 -0.266667 -2.568888
87153.598963 9.490821 0.157638 -2.600803
87153.603907 9.566515 0.321384 -2.480067
87153.608850 9.679602 0.294443 -2.508365
87153.613794 9.757168 0.283607 -2.648744
87153.618708 9.812484 0.241026 -2.727336
87153.623621 9.856468 0.083710 -2.718974
87153.628565 9.904931 -0.108432 -2.749877
87153.633478 9.740548 -0.138978 -3.000881
87153.638300 9.633256 -0.121745 -3.071582
87153.643305 9.583741 -0.128115 -3.062024
87153.648310 9.563601 -0.168541 -3.004294
87153.653254 9.513156 -0.163588 -3.053562
87153.658197 9.432211 -0.080856 -3.135242
87153.663141 9.390913 -0.021497 -3.095371
87153.668085 9.362972 0.086988 -3.059030
87153.673029 9.362686 0.174557 -3.027214
87153.677973 9.450444 0.218624 -2.955672
87153.682917 9.514972 0.250438 -2.945113
87153.687860 9.577818 0.250366 -2.912697
87153.692804 9.553245 0.282184 -2.833637
87153.697748 9.566844 0.298018 -2.758807
87153.702662 9.579791 0.222848 -2.654016
87153.707575 9.571007 0.202009 -2.579943
87153.712519 9.598996 0.174990 -2.517385
87153.717463 9.627720 0.118975 -2.444796
87153.722406 9.695231 0.032217 -2.378538
87153.727289 9.734818 -0.095648 -2.388207
87153.732111 9.706620 -0.177850 -2.412747
87153.736902 9.654065 -0.174372 -2.457771
87153.741999 9.650186 -0.134339 -2.461966
87153.747034 9.640353 -0.132421 -2.515527
87153.752008 9.578850 -0.104387 -2.605298
87153.756983 9.574097 -0.121901 -2.747439
87153.761927 9.575635 -0.096975 -2.811453
87153.766870 9.540609 -0.075499 -2.808764
87153.771814 9.471746 -0.004594 -2.835521
87153.776728 9.435432 0.097061 -2.891355
87153.781672 9.442502 0.199400 -2.985659
87153.786615 9.422407 0.323088 -3.061400
87153.791559 9.358249 0.422595 -3.134345
87153.796503 9.373986 0.548298 -3.223210
87153.801416 9.460197 0.616629 -3.312409
87153.806360 9.556140 0.590754 -3.272835
87153.811304 9.677689 0.575838 -3.182008
87153.816248 9.722625 0.544147 -3.071339
87153.821192 9.730433 0.379688 -3.026643
87153.826044 9.723443 0.152458 -3.114564
87153.831202 9.757516 -0.023110 -3.094840
87153.836237 9.718427 -0.078235 -3.147059
87153.841394 9.606769 -0.128709 -3.340879
87153.846460 9.671905 -0.408642 -3.492231
87153.851435 9.770152 -0.698858 -3.578575
87153.856379 9.774002 -0.751802 -3.676703
87153.861292 9.706908 -0.563804 -3.657100
87153.866205 9.634769 -0.406375 -3.706234
87153.871119 9.601385 -0.374041 -3.763242
87153.876032 9.568942 -0.260908 -3.705893
87153.880915 9.429393 0.003007 -3.594536
87153.885797 9.199013 0.501296 -3.475933
87153.890680 8.936365 1.267389 -3.602543
87153.895563 8.780553 1.437766 -3.480685
87153.900476 8.804633 1.373578 -3.218873
87153.905390 8.880802 1.437109 -3.232659
87153.910303 8.944988 1.575490 -3.375801
87153.915216 9.017968 1.608870 -3.442006
87153.920099 9.072822 1.594652 -3.546068
87153.924982 9.087295 1.624116 -3.688448
87153.929865 9.042852 1.608831 -3.871795
87153.934748 9.023551 1.489096 -4.022787
87153.939661 9.090979 1.307330 -4.156742
87153.944605 9.013149 1.019892 -4.224812
87153.949518 9.014240 0.804796 -4.218517
87153.954462 9.134904 0.609546 -4.234918
87153.959406 9.175278 0.490288 -4.221789
87153.964350 9.074265 0.480307 -4.230724
87153.969294 9.045340 0.447331 -4.199097
87153.974237 9.004711 0.480590 -4.186238
87153.979181 8.984595 0.498419 -4.140895
87153.984095 9.051806 0.523088 -4.093768
87153.989038 9.121496 0.552314 -4.045063
87153.993982 9.140101 0.562024 -4.010624
87153.998926 9.151413 0.567338 -3.981604
87154.003870 9.166023 0.602127 -3.909654
87154.008783 9.172042 0.643317 -3.819665
87154.013727 9.170831 0.721747 -3.747794
87154.018671 9.131966 0.734802 -3.672227
87154.023615 9.140582 0.754743 -3.626851
87154.028528 9.198550 0.766900 -3.576377
87154.033533 9.193533 0.746872 -3.597475
87154.038446 9.141057 0.710835 -3.598546
87154.043512 9.179501 0.684376 -3.612485
87154.048395 9.160674 0.660838 -3.642894
87154.053278 9.167481 0.629793 -3.664205
87154.058191 9.159431 0.587113 -3.691460
87154.063105 9.179951 0.584245 -3.727422
87154.068048 9.193159 0.593070 -3.754663
87154.072992 9.216812 0.616051 -3.803952
87154.077936 9.222991 0.573260 -3.836088
87154.082880 9.234207 0.635581 -3.847049
87154.087793 9.265956 0.666597 -3.872715
87154.092737 9.262752 0.698758 -3.898333
87154.097681 9.271143 0.700661 -3.873937
87154.102625 9.276388 0.719003 -3.908918
87154.107569 9.227825 0.753966 -3.952189
87154.112482 9.229698 0.792769 -3.945263
87154.117456 9.203702 0.833978 -3.957796
87154.122400 9.188843 0.838317 -4.016435
87154.127283 9.134134 0.831344 -4.030312
